$MeshFile
Vertex	X	YZ
449	0.421875	0.406250
450	0.4375	0.406250
451	0.453125	0.406250
452	0.46875	0.406250
453	0.484375	0.406250
454	0.5	0.406250
455	-0.5	0.3906250
456	-0.484375	0.3906250
457	-0.46875	0.3906250
458	-0.453125	0.3906250
459	-0.4375	0.3906250
460	-0.421875	0.3906250
461	-0.40625	0.3906250
462	-0.390625	0.3906250
463	-0.375	0.3906250
464	-0.359375	0.3906250
465	-0.34375	0.3906250
466	-0.328125	0.3906250
467	-0.3125	0.3906250
468	-0.296875	0.3906250
469	-0.28125	0.3906250
470	-0.265625	0.3906250
471	-0.25	0.3906250
472	-0.234375	0.3906250
473	-0.21875	0.3906250
474	-0.203125	0.3906250
475	-0.1875	0.3906250
476	-0.171875	0.3906250
477	-0.15625	0.3906250
478	-0.140625	0.3906250
479	-0.125	0.3906250
480	-0.109375	0.3906250
481	-0.09375	0.3906250
482	-0.078125	0.3906250
483	-0.0625	0.3906250
484	-0.046875	0.3906250
485	-0.03125	0.3906250
486	-0.015625	0.3906250
487	0	0.3906250
488	0.015625	0.3906250
489	0.03125	0.3906250
490	0.046875	0.3906250
491	0.0625	0.3906250
492	0.078125	0.3906250
493	0.09375	0.3906250
494	0.109375	0.3906250
495	0.125	0.3906250
496	0.140625	0.3906250
497	0.15625	0.3906250
498	0.171875	0.3906250
499	0.1875	0.3906250
500	0.203125	0.3906250
501	0.21875	0.3906250
502	0.234375	0.3906250
503	0.25	0.3906250
504	0.265625	0.3906250
505	0.28125	0.3906250
506	0.296875	0.3906250
507	0.3125	0.3906250
508	0.328125	0.3906250
509	0.34375	0.3906250
510	0.359375	0.3906250
511	0.375	0.3906250
512	0.390625	0.3906250
513	0.40625	0.3906250
514	0.421875	0.3906250
515	0.4375	0.3906250
516	0.453125	0.3906250
517	0.46875	0.3906250
518	0.484375	0.3906250
519	0.5	0.3906250
520	-0.5	0.3750
521	-0.484375	0.3750
522	-0.46875	0.3750
523	-0.453125	0.3750
524	-0.4375	0.3750
525	-0.421875	0.3750
526	-0.40625	0.3750
527	-0.390625	0.3750
528	-0.375	0.3750
529	-0.359375	0.3750
530	-0.34375	0.3750
531	-0.328125	0.3750
532	-0.3125	0.3750
533	-0.296875	0.3750
534	-0.28125	0.3750
535	-0.265625	0.3750
536	-0.25	0.3750
537	-0.234375	0.3750
538	-0.21875	0.3750
539	-0.203125	0.3750
540	-0.1875	0.3750
541	-0.171875	0.3750
542	-0.15625	0.3750
543	-0.140625	0.3750
544	-0.125	0.3750
545	-0.109375	0.3750
546	-0.09375	0.3750
547	-0.078125	0.3750
548	-0.0625	0.3750
549	-0.046875	0.3750
550	-0.03125	0.3750
551	-0.015625	0.3750
552	0	0.3750
553	0.015625	0.3750
554	0.03125	0.3750
555	0.046875	0.3750
556	0.0625	0.3750
557	0.078125	0.3750
558	0.09375	0.3750
559	0.109375	0.3750
560	0.125	0.3750
561	0.140625	0.3750
562	0.15625	0.3750
563	0.171875	0.3750
564	0.1875	0.3750
565	0.203125	0.3750
566	0.21875	0.3750
567	0.234375	0.3750
568	0.25	0.3750
569	0.265625	0.3750
