2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	148	 Ures: 	2.6837218696e-02	 Vres: 	1.3554141544e+00	 Pres: 	1.1572490216e-01	 
Iteration no:	149	 Ures: 	2.6739470722e-02	 Vres: 	1.3469122413e+00	 Pres: 	1.0874584723e-01	 
Iteration no:	150	 Ures: 	2.6609329154e-02	 Vres: 	1.3363612514e+00	 Pres: 	1.2386274652e-01	 
Iteration no:	151	 Ures: 	2.6446925960e-02	 Vres: 	1.3240160053e+00	 Pres: 	1.5302787285e-01	 
Iteration no:	152	 Ures: 	2.6253748508e-02	 Vres: 	1.3101846732e+00	 Pres: 	1.8807377948e-01	 
Iteration no:	153	 Ures: 	2.6032521330e-02	 Vres: 	1.2952160778e+00	 Pres: 	2.2450536869e-01	 
Iteration no:	154	 Ures: 	2.5787055926e-02	 Vres: 	1.2794861558e+00	 Pres: 	2.6004924530e-01	 
Iteration no:	155	 Ures: 	2.5522071608e-02	 Vres: 	1.2633836889e+00	 Pres: 	2.9345092113e-01	 
Iteration no:	156	 Ures: 	2.5242990170e-02	 Vres: 	1.2472955199e+00	 Pres: 	3.2393900345e-01	 
Iteration no:	157	 Ures: 	2.4955707602e-02	 Vres: 	1.2315916067e+00	 Pres: 	3.5099940020e-01	 
Iteration no:	158	 Ures: 	2.4666347282e-02	 Vres: 	1.2166104255e+00	 Pres: 	3.7427512515e-01	 
Iteration no:	159	 Ures: 	2.4381000860e-02	 Vres: 	1.2026453916e+00	 Pres: 	3.9351849861e-01	 
Iteration no:	160	 Ures: 	2.4105465454e-02	 Vres: 	1.1899330802e+00	 Pres: 	4.0856654300e-01	 
Iteration no:	161	 Ures: 	2.3844988248e-02	 Vres: 	1.1786440557e+00	 Pres: 	4.1932723940e-01	 
Iteration no:	162	 Ures: 	2.3604031753e-02	 Vres: 	1.1688770402e+00	 Pres: 	4.2577109021e-01	 
Iteration no:	163	 Ures: 	2.3386074161e-02	 Vres: 	1.1606569369e+00	 Pres: 	4.2792533723e-01	 
Iteration no:	164	 Ures: 	2.3193458873e-02	 Vres: 	1.1539369103e+00	 Pres: 	4.2586951219e-01	 
Iteration no:	165	 Ures: 	2.3027304920e-02	 Vres: 	1.1486043466e+00	 Pres: 	4.1973164284e-01	 
Iteration no:	166	 Ures: 	2.2887485779e-02	 Vres: 	1.1444901572e+00	 Pres: 	4.0968477524e-01	 
Iteration no:	167	 Ures: 	2.2772678275e-02	 Vres: 	1.1413805945e+00	 Pres: 	3.9594366527e-01	 
Iteration no:	168	 Ures: 	2.2680477021e-02	 Vres: 	1.1390305940e+00	 Pres: 	3.7876162135e-01	 
Iteration no:	169	 Ures: 	2.2607563972e-02	 Vres: 	1.1371776288e+00	 Pres: 	3.5842759076e-01	 
Iteration no:	170	 Ures: 	2.2549918389e-02	 Vres: 	1.1355551716e+00	 Pres: 	3.3526371521e-01	 
Iteration no:	171	 Ures: 	2.2503050259e-02	 Vres: 	1.1339050388e+00	 Pres: 	3.0962378791e-01	 
Iteration no:	172	 Ures: 	2.2462240244e-02	 Vres: 	1.1319881173e+00	 Pres: 	2.8189342729e-01	 
Iteration no:	173	 Ures: 	2.2422771056e-02	 Vres: 	1.1295931907e+00	 Pres: 	2.5249356071e-01	 
Iteration no:	174	 Ures: 	2.2380138284e-02	 Vres: 	1.1265437641e+00	 Pres: 	2.2189052130e-01	 
Iteration no:	175	 Ures: 	2.2330232267e-02	 Vres: 	1.1227029209e+00	 Pres: 	1.9062009169e-01	 
Iteration no:	176	 Ures: 	2.2269486094e-02	 Vres: 	1.1179763329e+00	 Pres: 	1.5934301192e-01	 
Iteration no:	177	 Ures: 	2.2194987796e-02	 Vres: 	1.1123135853e+00	 Pres: 	1.2897670622e-01	 
Iteration no:	178	 Ures: 	2.2104556995e-02	 Vres: 	1.1057079920e+00	 Pres: 	1.0101994077e-01	 
Iteration no:	179	 Ures: 	2.1996787798e-02	 Vres: 	1.0981950642e+00	 Pres: 	7.8312603280e-02	 
Iteration no:	180	 Ures: 	2.1871060539e-02	 Vres: 	1.0898497769e+00	 Pres: 	6.5981797954e-02	 
Iteration no:	181	 Ures: 	2.1727525361e-02	 Vres: 	1.0807827521e+00	 Pres: 	6.8653491137e-02	 
Iteration no:	182	 Ures: 	2.1567060649e-02	 Vres: 	1.0711354634e+00	 Pres: 	8.3550513832e-02	 
Iteration no:	183	 Ures: 	2.1391209245e-02	 Vres: 	1.0610745554e+00	 Pres: 	1.0421778402e-01	 
Iteration no:	184	 Ures: 	2.1202095201e-02	 Vres: 	1.0507853786e+00	 Pres: 	1.2654565797e-01	 
Iteration no:	185	 Ures: 	2.1002323826e-02	 Vres: 	1.0404648636e+00	 Pres: 	1.4854840609e-01	 
Iteration no:	186	 Ures: 	2.0794867815e-02	 Vres: 	1.0303138962e+00	 Pres: 	1.6922116445e-01	 
Iteration no:	187	 Ures: 	2.0582942577e-02	 Vres: 	1.0205294096e+00	 Pres: 	1.8799361740e-01	 
Iteration no:	188	 Ures: 	2.0369874320e-02	 Vres: 	1.0112964690e+00	 Pres: 	2.0450993750e-01	 
Iteration no:	189	 Ures: 	2.0158965056e-02	 Vres: 	1.0027806864e+00	 Pres: 	2.1853652924e-01	 
Iteration no:	190	 Ures: 	1.9953359380e-02	 Vres: 	9.9512134435e-01	 Pres: 	2.2992011476e-01	 
Iteration no:	191	 Ures: 	1.9755918458e-02	 Vres: 	9.8842562500e-01	 Pres: 	2.3856697062e-01	 
Iteration no:	192	 Ures: 	1.9569107051e-02	 Vres: 	9.8276431242e-01	 Pres: 	2.4443166536e-01	 
Iteration no:	193	 Ures: 	1.9394899363e-02	 Vres: 	9.7816926478e-01	 Pres: 	2.4751030490e-01	 
Iteration no:	194	 Ures: 	1.9234708978e-02	 Vres: 	9.7463283403e-01	 Pres: 	2.4783600164e-01	 
Iteration no:	195	 Ures: 	1.9089346987e-02	 Vres: 	9.7210926235e-01	 Pres: 	2.4547546731e-01	 
Iteration no:	196	 Ures: 	1.8959010753e-02	 Vres: 	9.7051792605e-01	 Pres: 	2.4052618479e-01	 
Iteration no:	197	 Ures: 	1.8843303634e-02	 Vres: 	9.6974815287e-01	 Pres: 	2.3311389541e-01	 
Iteration no:	198	 Ures: 	1.8741283828e-02	 Vres: 	9.6966522920e-01	 Pres: 	2.2339029776e-01	 
Iteration no:	199	 Ures: 	1.8651538359e-02	 Vres: 	9.7011715427e-01	 Pres: 	2.1153096461e-01	 
Iteration no:	200	 Ures: 	1.8572276629e-02	 Vres: 	9.7094168981e-01	 Pres: 	1.9773359314e-01	 
Iteration no:	201	 Ures: 	1.8501436888e-02	 Vres: 	9.7197329178e-01	 Pres: 	1.8221685731e-01	 
Iteration no:	202	 Ures: 	1.8436798679e-02	 Vres: 	9.7304958037e-01	 Pres: 	1.6522041481e-01	 
Iteration no:	203	 Ures: 	1.8376094587e-02	 Vres: 	9.7401709093e-01	 Pres: 	1.4700722387e-01	 
Iteration no:	204	 Ures: 	1.8317115498e-02	 Vres: 	9.7473613719e-01	 Pres: 	1.2787074625e-01	 
Iteration no:	205	 Ures: 	1.8257804698e-02	 Vres: 	9.7508469790e-01	 Pres: 	1.0815329231e-01	 
Iteration no:	206	 Ures: 	1.8196337446e-02	 Vres: 	9.7496130329e-01	 Pres: 	8.8292295727e-02	 
Iteration no:	207	 Ures: 	1.8131183920e-02	 Vres: 	9.7428694600e-01	 Pres: 	6.8944678511e-02	 
Iteration no:	208	 Ures: 	1.8061154524e-02	 Vres: 	9.7300607302e-01	 Pres: 	5.1350475583e-02	 
Iteration no:	209	 Ures: 	1.7985427463e-02	 Vres: 	9.7108673446e-01	 Pres: 	3.8348104069e-02	 
Iteration no:	210	 Ures: 	1.7903559206e-02	 Vres: 	9.6851997382e-01	 Pres: 	3.5192217719e-02	 
Iteration no:	211	 Ures: 	1.7815478907e-02	 Vres: 	9.6531854751e-01	 Pres: 	4.3438171271e-02	 
Iteration no:	212	 Ures: 	1.7721468253e-02	 Vres: 	9.6151506107e-01	 Pres: 	5.7692720300e-02	 
Iteration no:	213	 Ures: 	1.7622128426e-02	 Vres: 	9.5715960855e-01	 Pres: 	7.3809207896e-02	 
Iteration no:	214	 Ures: 	1.7518336044e-02	 Vres: 	9.5231700153e-01	 Pres: 	9.0042380445e-02	 
Iteration no:	215	 Ures: 	1.7411190122e-02	 Vres: 	9.4706367580e-01	 Pres: 	1.0562016546e-01	 
Iteration no:	216	 Ures: 	1.7301952246e-02	 Vres: 	9.4148436819e-01	 Pres: 	1.2013119825e-01	 
Iteration no:	217	 Ures: 	1.7191982291e-02	 Vres: 	9.3566866166e-01	 Pres: 	1.3331963236e-01	 
Iteration no:	218	 Ures: 	1.7082672204e-02	 Vres: 	9.2970750380e-01	 Pres: 	1.4501070616e-01	 
Iteration no:	219	 Ures: 	1.6975380460e-02	 Vres: 	9.2368981048e-01	 Pres: 	1.5508044794e-01	 
Iteration no:	220	 Ures: 	1.6871369868e-02	 Vres: 	9.1769927050e-01	 Pres: 	1.6344195959e-01	 
Iteration no:	221	 Ures: 	1.6771751371e-02	 Vres: 	9.1181146746e-01	 Pres: 	1.7003855038e-01	 
Iteration no:	222	 Ures: 	1.6677436294e-02	 Vres: 	9.0609142928e-01	 Pres: 	1.7483991201e-01	 
